"Alasan","Merk_HP"
"X1","1"
"X1","1"
"X1","1"
"X1","1"
"X1","1"
"X1","1"
"X1","1"
"X1","1"
"X1","1"
"X1","1"
"X2","1"
"X2","1"
"X2","1"
"X2","1"
"X2","1"
"X2","1"
"X2","1"
"X2","1"
"X2","1"
"X3","1"
"X3","1"
"X3","1"
"X3","1"
"X3","1"
"X3","1"
"X3","1"
"X3","1"
"X3","1"
"X3","1"
"X3","1"
"X3","1"
"X3","1"
"X4","1"
"X4","1"
"X4","1"
"X4","1"
"X4","1"
"X4","1"
"X4","1"
"X4","1"
"X4","1"
"X4","1"
"X4","1"
"X4","1"
"X4","1"
"X4","1"
"X4","1"
"X4","1"
"X5","1"
"X5","1"
"X5","1"
"X5","1"
"X5","1"
"X5","1"
"X5","1"
"X5","1"
"X5","1"
"X5","1"
"X6","1"
"X6","1"
"X6","1"
"X6","1"
"X6","1"
"X6","1"
"X6","1"
"X6","1"
"X6","1"
"X6","1"
"X6","1"
"X6","1"
"X6","1"
"X7","1"
"X7","1"
"X7","1"
"X7","1"
"X7","1"
"X7","1"
"X7","1"
"X7","1"
"X7","1"
"X7","1"
"X7","1"
"X7","1"
"X7","1"
"X7","1"
"X7","1"
"X8","1"
"X8","1"
"X8","1"
"X8","1"
"X8","1"
"X1","2"
"X1","2"
"X1","2"
"X1","2"
"X1","2"
"X1","2"
"X2","2"
"X2","2"
"X2","2"
"X2","2"
"X4","2"
"X4","2"
"X4","2"
"X4","2"
"X5","2"
"X5","2"
"X5","2"
"X6","2"
"X6","2"
"X7","2"
"X8","2"
"X8","2"
"X2","3"
"X2","3"
"X2","3"
"X2","3"
"X3","3"
"X4","3"
"X4","3"
"X4","3"
"X4","3"
"X4","3"
"X4","3"
"X4","3"
"X4","3"
"X6","3"
"X6","3"
"X6","3"
"X7","3"
"X7","3"
"X7","3"
"X7","3"
"X7","3"
"X1","4"
"X1","4"
"X1","4"
"X1","4"
"X1","4"
"X1","4"
"X1","4"
"X1","4"
"X1","4"
"X2","4"
"X2","4"
"X2","4"
"X3","4"
"X3","4"
"X4","4"
"X7","4"
"X7","4"
"X7","4"
"X7","4"
"X8","4"
"X1","5"
"X1","5"
"X1","5"
"X1","5"
"X1","5"
"X1","5"
"X1","5"
"X1","5"
"X1","5"
"X1","5"
"X1","5"
"X1","5"
"X1","5"
"X1","5"
"X1","5"
"X1","5"
"X1","5"
"X1","5"
"X2","5"
"X2","5"
"X2","5"
"X2","5"
"X2","5"
"X4","5"
"X4","5"
"X6","5"
"X6","5"
"X6","5"
"X6","5"
"X1","6"
"X1","6"
"X2","6"
"X2","6"
"X2","6"
"X2","6"
"X2","6"
"X3","6"
"X3","6"
"X6","6"
"X6","6"
"X6","6"
"X6","6"
"X6","6"
"X8","6"
"X8","6"
"X8","6"
